ma_danh_gia,ma_san_pham,ma_don,ma_nguoi_dung,diem,noi_dung,ngay_danh_gia,trang_thai_kiem_duyet
DG00001,SP0089,DH00004,ND0107,3,Lịch trình hơi gấp nhưng chấp nhận được.,2026-01-06,cho_duyet
DG00002,SP0013,DH00008,ND0076,4,"Cảnh đẹp, tổ chức đúng giờ.",2025-11-25,da_duyet
DG00003,SP0076,DH00008,ND0076,4,Dịch vụ tốt so với mức giá.,2025-11-10,da_duyet
DG00004,SP0003,DH00008,ND0076,4,"Cảnh đẹp, tổ chức đúng giờ.",2025-11-29,cho_duyet
DG00005,SP0104,DH00010,ND0099,5,"Trải nghiệm đáng nhớ, sẽ quay lại.",2026-01-12,da_duyet
DG00006,SP0010,DH00011,ND0037,5,"Phòng sạch, nhân viên thân thiện.",2025-10-26,da_duyet
DG00007,SP0028,DH00020,ND0086,2,Giá cao so với chất lượng nhận được.,2025-11-13,da_duyet
DG00008,SP0095,DH00021,ND0097,5,Dịch vụ tốt so với mức giá.,2025-12-12,da_duyet
DG00009,SP0035,DH00024,ND0054,4,"Hướng dẫn viên nhiệt tình, lịch trình hợp lý.",2025-10-18,da_duyet
DG00010,SP0039,DH00025,ND0101,3,"Ăn uống bình thường, chỗ nghỉ ổn.",2025-10-02,cho_duyet
DG00011,SP0137,DH00031,ND0050,5,Dịch vụ tốt so với mức giá.,2025-10-17,da_duyet
DG00012,SP0130,DH00043,ND0095,4,"Hướng dẫn viên nhiệt tình, lịch trình hợp lý.",2026-01-16,cho_duyet
DG00013,SP0043,DH00043,ND0095,3,Cần cải thiện khâu đón khách.,2026-01-27,da_duyet
DG00014,SP0075,DH00047,ND0089,3,Đông khách vào cuối tuần.,2025-12-10,da_duyet
DG00015,SP0036,DH00047,ND0089,5,Dịch vụ tốt so với mức giá.,2025-12-13,da_duyet
DG00016,SP0083,DH00051,ND0071,5,Dịch vụ tốt so với mức giá.,2025-11-10,cho_duyet
DG00017,SP0087,DH00054,ND0089,5,"Trải nghiệm đáng nhớ, sẽ quay lại.",2025-10-10,da_duyet
DG00018,SP0067,DH00054,ND0089,5,"Trải nghiệm đáng nhớ, sẽ quay lại.",2025-10-12,da_duyet
DG00019,SP0114,DH00057,ND0065,4,"Phòng sạch, nhân viên thân thiện.",2025-09-22,da_duyet
DG00020,SP0083,DH00057,ND0065,5,"Phòng sạch, nhân viên thân thiện.",2025-09-28,da_duyet
DG00021,SP0066,DH00071,ND0080,5,"Phòng sạch, nhân viên thân thiện.",2025-10-16,da_duyet
DG00022,SP0002,DH00074,ND0096,5,"Cảnh đẹp, tổ chức đúng giờ.",2025-11-23,da_duyet
DG00023,SP0051,DH00078,ND0045,4,"Hướng dẫn viên nhiệt tình, lịch trình hợp lý.",2025-12-26,da_duyet
DG00024,SP0072,DH00079,ND0084,3,Lịch trình hơi gấp nhưng chấp nhận được.,2026-01-05,cho_duyet
DG00025,SP0103,DH00081,ND0076,2,Thông tin trên website chưa khớp thực tế.,2026-01-14,da_duyet
DG00026,SP0059,DH00085,ND0097,3,Cần cải thiện khâu đón khách.,2025-11-16,tu_choi
DG00027,SP0071,DH00087,ND0101,4,"Trải nghiệm đáng nhớ, sẽ quay lại.",2025-10-05,da_duyet
DG00028,SP0062,DH00091,ND0059,4,"Cảnh đẹp, tổ chức đúng giờ.",2025-10-29,da_duyet
DG00029,SP0055,DH00091,ND0059,4,"Cảnh đẹp, tổ chức đúng giờ.",2025-10-15,da_duyet
DG00030,SP0020,DH00092,ND0053,3,Đông khách vào cuối tuần.,2025-10-23,da_duyet
DG00031,SP0087,DH00094,ND0056,5,"Phòng sạch, nhân viên thân thiện.",2025-10-24,da_duyet
DG00032,SP0049,DH00105,ND0053,4,"Trải nghiệm đáng nhớ, sẽ quay lại.",2025-11-16,da_duyet
DG00033,SP0051,DH00110,ND0081,3,Lịch trình hơi gấp nhưng chấp nhận được.,2025-10-16,da_duyet
DG00034,SP0046,DH00117,ND0052,5,Dịch vụ tốt so với mức giá.,2026-01-16,da_duyet
DG00035,SP0060,DH00120,ND0077,3,Đông khách vào cuối tuần.,2025-12-19,da_duyet
DG00036,SP0064,DH00122,ND0093,3,Lịch trình hơi gấp nhưng chấp nhận được.,2025-11-06,da_duyet
DG00037,SP0090,DH00122,ND0093,5,"Hướng dẫn viên nhiệt tình, lịch trình hợp lý.",2025-11-02,da_duyet
DG00038,SP0083,DH00124,ND0037,5,"Cảnh đẹp, tổ chức đúng giờ.",2026-01-01,da_duyet
DG00039,SP0136,DH00125,ND0062,3,"Ăn uống bình thường, chỗ nghỉ ổn.",2025-12-09,da_duyet
DG00040,SP0140,DH00127,ND0041,5,"Trải nghiệm đáng nhớ, sẽ quay lại.",2025-09-27,da_duyet
DG00041,SP0106,DH00127,ND0041,5,"Trải nghiệm đáng nhớ, sẽ quay lại.",2025-10-04,da_duyet
DG00042,SP0063,DH00130,ND0110,5,Dịch vụ tốt so với mức giá.,2025-10-26,cho_duyet
DG00043,SP0058,DH00130,ND0110,5,Dịch vụ tốt so với mức giá.,2025-10-16,da_duyet
DG00044,SP0131,DH00135,ND0089,5,"Trải nghiệm đáng nhớ, sẽ quay lại.",2025-10-29,da_duyet
DG00045,SP0111,DH00135,ND0089,1,Giá cao so với chất lượng nhận được.,2025-10-26,da_duyet
DG00046,SP0109,DH00138,ND0079,2,Chờ đợi lâu ở điểm tập trung.,2026-01-19,da_duyet
DG00047,SP0095,DH00139,ND0070,5,Dịch vụ tốt so với mức giá.,2025-11-30,cho_duyet
DG00048,SP0026,DH00139,ND0070,5,"Hướng dẫn viên nhiệt tình, lịch trình hợp lý.",2025-12-05,da_duyet
