ma_san_pham,ten_san_pham,duong_dan_tinh,ma_ncc,ma_diem_den,loai_san_pham,gia_co_ban,don_vi_tinh,so_ngay,suc_chua_toi_da,chinh_sach_huy,diem_danh_gia_tb,so_luot_danh_gia,trang_thai,ngay_tao
SP0001,Vé tham quan Đền Thanh Bình – Hà Nội,ve-tham-quan-den-thanh-binh-ha-noi,NCC012,DD021,Vé tham quan,50000,khách,1,200,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2024-08-31
SP0002,Lưu trú Bãi biển Đại Lộc – Đắk Lắk,luu-tru-bai-bien-dai-loc-dak-lak,NCC016,DD054,Lưu trú,2200000,phòng/đêm,1,6,Phí 30% trong 48 giờ,5.0,1,dang_ban,2024-09-11
SP0003,Dịch vụ trải nghiệm Đảo Hương Giang – Hòa Bình,dich-vu-trai-nghiem-dao-huong-giang-hoa-binh,NCC016,DD008,Dịch vụ trải nghiệm,180000,khách,1,20,Miễn phí trước 3 ngày,4.0,1,dang_ban,2024-05-06
SP0004,Vé tham quan Làng lụa Thanh Bình – Kiên Giang,ve-tham-quan-lang-lua-thanh-binh-kien-giang,NCC016,DD071,Vé tham quan,50000,khách,1,100,Không hoàn sau khi xác nhận,4.0,1,dang_ban,2024-11-26
SP0005,Lưu trú Bán đảo Thanh Bình – Bắc Ninh,luu-tru-ban-dao-thanh-binh-bac-ninh,NCC021,DD030,Lưu trú,1450000,phòng/đêm,1,6,Miễn phí trước 7 ngày,0.0,0,dang_ban,2024-10-21
SP0006,Lưu trú Miệt vườn Tây Hồ – Tuyên Quang,luu-tru-miet-vuon-tay-ho-tuyen-quang,NCC018,DD020,Lưu trú,450000,phòng/đêm,1,2,Miễn phí trước 7 ngày,0.0,0,dang_ban,2025-04-02
SP0007,Tour trọn gói Rừng nguyên sinh Long Hải – Cao Bằng,tour-tron-goi-rung-nguyen-sinh-long-hai-cao-bang,NCC009,DD014,Tour trọn gói,2450000,khách,3,20,Không hoàn sau khi xác nhận,0.0,0,ngung_ban,2024-07-16
SP0008,Tour trọn gói Thác Tây Hồ – Khánh Hòa,tour-tron-goi-thac-tay-ho-khanh-hoa,NCC010,DD045,Tour trọn gói,2450000,khách,4,25,Phí 30% trong 48 giờ,0.0,0,dang_ban,2025-10-04
SP0009,Vận chuyển Bán đảo Long Hải – Hải Phòng,van-chuyen-ban-dao-long-hai-hai-phong,NCC013,DD025,Vận chuyển,480000,khách,1,29,Miễn phí trước 7 ngày,3.0,1,dang_ban,2025-05-05
SP0010,Dịch vụ trải nghiệm Khu di sản Hòa Xuân – Hà Tĩnh,dich-vu-trai-nghiem-khu-di-san-hoa-xuan-ha-tinh,NCC023,DD040,Dịch vụ trải nghiệm,850000,khách,1,20,Phí 30% trong 48 giờ,5.0,1,dang_ban,2024-10-11
SP0011,Lưu trú Thác Đại Lộc – Hà Giang,luu-tru-thac-dai-loc-ha-giang,NCC021,DD011,Lưu trú,1450000,phòng/đêm,1,6,Phí 30% trong 48 giờ,0.0,0,dang_ban,2025-07-23
SP0012,Vé tham quan Chợ đêm Ngọc Trai – Nghệ An,ve-tham-quan-cho-dem-ngoc-trai-nghe-an,NCC007,DD033,Vé tham quan,90000,khách,1,100,Phí 30% trong 48 giờ,0.0,0,dang_ban,2025-10-29
SP0013,Vé tham quan Bán đảo Thanh Bình – Bắc Ninh,ve-tham-quan-ban-dao-thanh-binh-bac-ninh,NCC013,DD030,Vé tham quan,90000,khách,1,100,Miễn phí trước 3 ngày,4.0,1,dang_ban,2024-05-21
SP0014,Vé tham quan Thác Ngọc Trai – TP. Hồ Chí Minh,ve-tham-quan-thac-ngoc-trai-tp-ho-chi-minh,NCC023,DD059,Vé tham quan,50000,khách,1,400,Phí 30% trong 48 giờ,0.0,0,dang_ban,2025-06-09
SP0015,Dịch vụ trải nghiệm Bãi biển Ngọc Trai – Sơn La,dich-vu-trai-nghiem-bai-bien-ngoc-trai-son-la,NCC019,DD004,Dịch vụ trải nghiệm,180000,khách,1,10,Miễn phí trước 7 ngày,0.0,0,dang_ban,2025-06-10
SP0016,Dịch vụ trải nghiệm Đền Thiên Hương – Điện Biên,dich-vu-trai-nghiem-den-thien-huong-dien-bien,NCC013,DD005,Dịch vụ trải nghiệm,850000,khách,1,20,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2025-03-07
SP0017,Vận chuyển Quần thể di sản Hòa Xuân – Tây Ninh,van-chuyen-quan-the-di-san-hoa-xuan-tay-ninh,NCC019,DD065,Vận chuyển,750000,khách,1,16,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2024-06-23
SP0018,Vé tham quan Địa đạo Đại Lộc – Ninh Bình,ve-tham-quan-dia-dao-dai-loc-ninh-binh,NCC023,DD024,Vé tham quan,90000,khách,1,200,Miễn phí trước 7 ngày,0.0,0,dang_ban,2025-06-13
SP0019,Dịch vụ trải nghiệm Miệt vườn Phú Cường – Cao Bằng,dich-vu-trai-nghiem-miet-vuon-phu-cuong-cao-bang,NCC001,DD013,Dịch vụ trải nghiệm,180000,khách,1,8,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2025-01-20
SP0020,Dịch vụ trải nghiệm Đồi chè Hương Giang – Ninh Thuận,dich-vu-trai-nghiem-doi-che-huong-giang-ninh-thuan,NCC016,DD050,Dịch vụ trải nghiệm,850000,khách,1,10,Miễn phí trước 7 ngày,3.0,1,dang_ban,2025-06-10
SP0021,Vé tham quan Quần thể di sản Hòa Xuân – Tây Ninh,ve-tham-quan-quan-the-di-san-hoa-xuan-tay-ninh,NCC015,DD065,Vé tham quan,250000,khách,1,400,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2024-03-06
SP0022,Vận chuyển Miệt vườn Tây Hồ – Tuyên Quang,van-chuyen-miet-vuon-tay-ho-tuyen-quang,NCC022,DD020,Vận chuyển,120000,khách,1,29,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2024-04-29
SP0023,Dịch vụ trải nghiệm Quảng trường Ngọc Trai – Cần Thơ,dich-vu-trai-nghiem-quang-truong-ngoc-trai-can-tho,NCC004,DD067,Dịch vụ trải nghiệm,850000,khách,1,15,Miễn phí trước 3 ngày,0.0,0,dang_ban,2023-08-21
SP0024,Dịch vụ trải nghiệm Đồi chè Ban Mai – Quảng Bình,dich-vu-trai-nghiem-doi-che-ban-mai-quang-binh,NCC004,DD035,Dịch vụ trải nghiệm,180000,khách,1,10,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2025-08-10
SP0025,Lưu trú Thác Đại Lộc – Hà Giang,luu-tru-thac-dai-loc-ha-giang,NCC004,DD011,Lưu trú,980000,phòng/đêm,1,6,Miễn phí trước 3 ngày,4.0,2,dang_ban,2025-05-10
SP0026,Vận chuyển Đồi chè Hòa Xuân – Sơn La,van-chuyen-doi-che-hoa-xuan-son-la,NCC007,DD003,Vận chuyển,120000,khách,1,29,Miễn phí trước 7 ngày,5.0,1,dang_ban,2023-08-10
SP0027,Vé tham quan Thác Bình Minh – Ninh Thuận,ve-tham-quan-thac-binh-minh-ninh-thuan,NCC010,DD049,Vé tham quan,150000,khách,1,200,Miễn phí trước 3 ngày,0.0,0,dang_ban,2025-04-18
SP0028,Vé tham quan Rừng nguyên sinh Long Hải – Cao Bằng,ve-tham-quan-rung-nguyen-sinh-long-hai-cao-bang,NCC017,DD014,Vé tham quan,90000,khách,1,200,Phí 30% trong 48 giờ,2.0,1,dang_ban,2024-10-17
SP0029,Tour trọn gói Khu di sản Hòa Xuân – Hà Tĩnh,tour-tron-goi-khu-di-san-hoa-xuan-ha-tinh,NCC007,DD040,Tour trọn gói,6500000,khách,5,20,Miễn phí trước 7 ngày,0.0,0,dang_ban,2025-07-28
SP0030,Lưu trú Cánh đồng Ngọc Trai – Yên Bái,luu-tru-canh-dong-ngoc-trai-yen-bai,NCC019,DD009,Lưu trú,1450000,phòng/đêm,1,2,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2024-05-13
