ma_bai_viet,tieu_de,duong_dan_tinh,ma_diem_den,chu_de,the_gan,tom_tat,so_luot_xem,ngay_dang,trang_thai
BV0001,"Ẩm thực khi đến Khu di sản Mỹ Cảnh, Đồng Nai",am-thuc-khi-den-khu-di-san-my-canh-dong-nai,DD064,Ẩm thực,"nghi-duong, am-thuc, cuoi-tuan","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di sản văn hóa tại Đồng Nai.",1720,2024-02-26,xuat_ban
BV0002,"Gợi ý hành trình khi đến Thành cổ Thiên Hương, Nam Định",goi-y-hanh-trinh-khi-den-thanh-co-thien-huong-nam-dinh,DD028,Gợi ý hành trình,"nui, am-thuc, cuoi-tuan","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di sản văn hóa tại Nam Định.",6541,2024-05-12,xuat_ban
BV0003,"Văn hóa bản địa khi đến Đồi chè Ban Mai, Quảng Bình",van-hoa-ban-dia-khi-den-doi-che-ban-mai-quang-binh,DD035,Văn hóa bản địa,"nghi-duong, nui, di-san","Bài viết mô phỏng phục vụ đào tạo, giới thiệu sinh thái nông nghiệp tại Quảng Bình.",5120,2024-11-19,xuat_ban
BV0004,"Ẩm thực khi đến Làng lụa An Khê, Bến Tre",am-thuc-khi-den-lang-lua-an-khe-ben-tre,DD075,Ẩm thực,"am-thuc, gia-dinh, phuot","Bài viết mô phỏng phục vụ đào tạo, giới thiệu làng nghề truyền thống tại Bến Tre.",10788,2025-01-05,xuat_ban
BV0005,"Văn hóa bản địa khi đến Đồi chè Hòa Xuân, Huế",van-hoa-ban-dia-khi-den-doi-che-hoa-xuan-hue,DD037,Văn hóa bản địa,"am-thuc, bien, phuot","Bài viết mô phỏng phục vụ đào tạo, giới thiệu sinh thái nông nghiệp tại Huế.",7633,2025-07-10,xuat_ban
BV0006,"Văn hóa bản địa khi đến Làng lụa An Khê, Bến Tre",van-hoa-ban-dia-khi-den-lang-lua-an-khe-ben-tre,DD075,Văn hóa bản địa,"di-san, nghi-duong, gia-dinh","Bài viết mô phỏng phục vụ đào tạo, giới thiệu làng nghề truyền thống tại Bến Tre.",9759,2025-04-26,xuat_ban
BV0007,"Ẩm thực khi đến Đồi chè Hương Giang, Ninh Thuận",am-thuc-khi-den-doi-che-huong-giang-ninh-thuan,DD050,Ẩm thực,"nghi-duong, phuot, am-thuc","Bài viết mô phỏng phục vụ đào tạo, giới thiệu sinh thái nông nghiệp tại Ninh Thuận.",11484,2024-04-14,ban_nhap
BV0008,"Văn hóa bản địa khi đến Phố cổ Thiên Hương, Bà Rịa – Vũng Tàu",van-hoa-ban-dia-khi-den-pho-co-thien-huong-ba-ria-vung-tau,DD062,Văn hóa bản địa,"cuoi-tuan, phuot, gia-dinh","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di sản văn hóa tại Bà Rịa – Vũng Tàu.",1603,2025-05-12,xuat_ban
BV0009,"Gợi ý hành trình khi đến Khu tưởng niệm Ban Mai, Nghệ An",goi-y-hanh-trinh-khi-den-khu-tuong-niem-ban-mai-nghe-an,DD034,Gợi ý hành trình,"gia-dinh, nghi-duong, bien","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di tích lịch sử tại Nghệ An.",4263,2024-06-30,xuat_ban
BV0010,"Mẹo tiết kiệm khi đến Vườn quốc gia Hương Giang, Đà Nẵng",meo-tiet-kiem-khi-den-vuon-quoc-gia-huong-giang-da-nang,DD041,Mẹo tiết kiệm,"cuoi-tuan, bien, am-thuc","Bài viết mô phỏng phục vụ đào tạo, giới thiệu vườn quốc gia tại Đà Nẵng.",7368,2024-07-18,xuat_ban
BV0011,"Ẩm thực khi đến Chùa Thiên Hương, An Giang",am-thuc-khi-den-chua-thien-huong-an-giang,DD069,Ẩm thực,"am-thuc, nui, cuoi-tuan","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di tích lịch sử tại An Giang.",11781,2024-08-07,xuat_ban
BV0012,"Kinh nghiệm khi đến Chợ đêm Thiên Hương, Thanh Hóa",kinh-nghiem-khi-den-cho-dem-thien-huong-thanh-hoa,DD032,Kinh nghiệm,"am-thuc, phuot, nghi-duong","Bài viết mô phỏng phục vụ đào tạo, giới thiệu đô thị – mua sắm tại Thanh Hóa.",4096,2024-08-06,xuat_ban
BV0013,"Văn hóa bản địa khi đến Thác Đại Lộc, Hà Giang",van-hoa-ban-dia-khi-den-thac-dai-loc-ha-giang,DD011,Văn hóa bản địa,"di-san, gia-dinh, bien","Bài viết mô phỏng phục vụ đào tạo, giới thiệu danh thắng thiên nhiên tại Hà Giang.",427,2025-05-28,xuat_ban
BV0014,"Kinh nghiệm khi đến Chợ đêm Hòa Xuân, Bình Định",kinh-nghiem-khi-den-cho-dem-hoa-xuan-binh-dinh,DD048,Kinh nghiệm,"cuoi-tuan, di-san, phuot","Bài viết mô phỏng phục vụ đào tạo, giới thiệu đô thị – mua sắm tại Bình Định.",7835,2025-12-24,xuat_ban
BV0015,"Ẩm thực khi đến Khu bảo tồn Mỹ Cảnh, Huế",am-thuc-khi-den-khu-bao-ton-my-canh-hue,DD038,Ẩm thực,"nui, cuoi-tuan, nghi-duong","Bài viết mô phỏng phục vụ đào tạo, giới thiệu vườn quốc gia tại Huế.",524,2025-10-13,xuat_ban
BV0016,"Mẹo tiết kiệm khi đến Hang động Hòa Xuân, Tây Ninh",meo-tiet-kiem-khi-den-hang-dong-hoa-xuan-tay-ninh,DD066,Mẹo tiết kiệm,"nghi-duong, phuot, am-thuc","Bài viết mô phỏng phục vụ đào tạo, giới thiệu danh thắng thiên nhiên tại Tây Ninh.",3129,2024-03-02,xuat_ban
BV0017,"Văn hóa bản địa khi đến Phố cổ Long Hải, Nam Định",van-hoa-ban-dia-khi-den-pho-co-long-hai-nam-dinh,DD027,Văn hóa bản địa,"di-san, phuot, nui","Bài viết mô phỏng phục vụ đào tạo, giới thiệu di sản văn hóa tại Nam Định.",11012,2025-06-28,xuat_ban
